name,sum_err_before,sum_err_after_full
(BEDT-TTF)2Cu(NCS)2,0.0265049,0.0280972
(BEDT-TTF)2Cu[N(CN)2]Br,0.0285406,0.0292925
(La0.5Y0.5)H8,0.0272451,0.0271857
(La0.925Sr0.075)2CuO4,0.0205263,0.0214979
(LaY)H10,0.0237668,0.0242534
(LaY)H4,0.0333082,0.031922
(LaY)H6,0.0256708,0.026225
(TMTSF)2AsF6,0.0195367,0.0401404
(TMTSF)2ClO4,0.0190477,0.0191716
(TMTSF)2PF6 (under P),0.0236002,0.0537973
1T'-MoTe2,0.0145209,0.379782
1T'-WTe2,0.0111473,0.865914
2H-NbS2,0.149461,0.154429
2H-Pd0.08TaSe2,0.022485,0.018308
2H-TaS2,0.1004,0.152018
2H-TaS2 (thin 3.5nm),0.132797,0.151598
2H-TaSe2,0.131605,0.477727
2H-VSe2,0.0125383,0.225089
2M-WS2,0.0195874,0.0239888
2M-WS2 (thin <20nm),0.0195874,0.0239888
3R-Ta0.9Mo0.1Se2,0.0235852,0.0208189
3R-Ta0.9W0.1Se2,0.00729684,0.00742727
4H-NbSe2,0.188984,0.194394
4Hb-TaS2,0.0106158,0.00765008
AcH10,0.077296,0.0773235
Al,0.179915,0.190643
AlH3,0.167569,0.168219
Am,0.0228864,0.0231349
AsH3,0.012026,0.0124264
B2H6,0.0255203,0.0255312
BH,0.0844161,0.0872323
Ba(Fe0.8Co0.2)2As2,0.0269025,0.0269203
Ba(Fe0.9Co0.1)2As2,0.0258824,0.026518
Ba0.6K0.4BiO3,0.013534,0.0135423
Ba0.6K0.4Fe2As2,0.0256099,0.0256211
BaC6,0.134185,1.19958
BaH12,0.0227421,0.0227528
BaH6,0.144734,0.145472
BaPb0.75Bi0.25O3,0.0158083,0.0170956
Bi2Sr2Ca2Cu3O10 (Bi-2223),0.0365031,0.0365112
Bi2Sr2CaCu2O8 (Bi-2212),0.0337739,0.0345052
CH4-H2 (clathrate),0.0199471,0.0206204
CaAlSi,0.0218477,0.0243306
CaC6,0.148023,0.152576
CaH10,0.186687,0.187295
CaH6,0.169051,0.169095
Cd,0.188512,0.216792
CeCoIn5,0.0986334,0.103337
CeCu2Si2,0.0676474,0.0769175
CeH10,0.0441198,0.0449225
CeH9,0.0283818,0.0283971
CoH5,0.0162764,0.0162904
Cr3Si,0.124526,0.125286
CrH6,0.0180256,0.0187131
Cs3C60,0.0128765,0.0123859
CsC8,0.39897,7.62841
CuMo6S8,0.0244149,0.0224851
EuMo6S8,0.0251238,0.026853
FeH5,0.0246833,0.0227549
FeSe (monolayer on STO),0.0608014,0.0615278
FeSe0.5Te0.5,0.0428857,0.0411148
FeSe0.7Te0.3,0.0663059,0.0669979
FeSe1-xSx (x=0.17),0.105218,0.108042
GaH3,0.161898,0.163425
GdH9,0.0196273,0.0196385
GeH4,0.120874,0.123834
H3S,0.0237982,0.0241543
H6SBr,0.0364436,0.0364628
H6SCl,0.0385006,0.0373792
Hf,0.142871,0.50964
HfH10,0.190746,0.191055
Hg,0.11075,0.110906
HgBa2Ca2Cu3O8 (Hg-1223),0.0153458,0.0153486
In,0.123023,0.127488
InH3,0.182885,0.183669
InH5,0.0291515,0.0307062
Ir,0.129385,0.975816
IrO2,0.0133489,0.178821
K3C60,0.0387285,0.0376629
KC8,0.0165487,0.10585
La,0.174804,0.176764
La2-xBaxCuO4 (x~0.125),0.0147198,0.0160162
La2-xSrxCuO4 (LSCO x~0.15),0.0203603,0.020884
LaBeH8,0.0390471,0.0396606
LaCeH18,0.0301794,0.0304963
LaH10,0.32612,0.326218
LaH8,0.0125295,0.0133944
LaO0.9F0.1FeAs,0.0304992,0.0293518
LaSc2H24,0.0413704,0.0417728
LaSr2H18,0.0510594,0.0510792
LaSr3H24,0.0478507,0.0469118
LaSrH12,0.024636,0.0246475
LaSrH21,0.0325593,0.0325715
LaThH12,0.0556508,0.0553651
LaYH20,0.0237668,0.0242534
Li2MgH16,0.0511379,0.0514798
LiFeAs,0.00856246,0.00775538
LuB12,0.11186,0.550492
LuH3,0.0974193,0.103777
MgCNi3,0.0104219,0.0152099
MgH12,0.0405104,0.040525
MgH6,0.0366922,0.0371744
MnH8,0.0269906,0.0280304
Mo,0.15637,0.218221
Mo3Al,0.128794,0.181391
Mo3Si,0.19438,0.229011
MoC,0.102564,0.104965
MoH11,0.0107948,0.0104507
MoRe,0.0784098,0.0835149
Na2CsC60,0.0279898,0.0274895
NaAlSi,0.0160702,0.0161146
Nb,0.0496147,0.0497187
Nb3Al,0.104035,0.104148
Nb3Au,0.0654759,0.0668605
Nb3Ge,0.0328651,0.0328943
Nb3Sb,0.166452,0.433771
Nb3Sn,0.0208529,0.0231246
NbN,0.199938,0.200256
NbSe2 (monolayer),0.104122,0.138498
NbTi,0.0914516,0.0964217
NbZr,0.0897783,0.0912522
Nd1.85Ce0.15CuO4,0.0357153,0.0357477
Nd2-xCexCuO4 (NCCO),0.011712,0.0124921
NdFeAsO0.9F0.1,0.0189106,0.0192085
NdH9,0.0387285,0.0375297
NiH4,0.0180222,0.0180426
NiMo6S8,0.0204297,0.0132159
Os,0.107958,0.216463
Pa,0.0182362,0.0216707
Pb,0.128457,0.128588
PbMo6S8,0.0210165,0.0202614
PbMo6Se8,0.0343906,0.0263469
Pr2-xCexCuO4 (PCCO),0.011712,0.0124921
PrFeAsO0.9F0.1,0.0189106,0.0192085
PrH10,0.027036,0.0259257
PrH9,0.03659,0.0361744
Rb3C60,0.0112685,0.0114842
RbC8,0.0125504,0.83415
Re,0.0548446,0.0958045
Rh,0.129582,12.6432
Ru,0.10532,0.331728
RuO2,0.00920948,0.0924825
SH3 (Cmca),0.0282012,0.0290037
ScH12,0.0805425,0.080575
ScH3,0.133183,0.13567
ScH6,0.138817,0.138909
ScZrH12,0.0466164,0.0466353
SeH2,0.0191092,0.0180012
Si2H6,0.0128418,0.0115296
SmFeAsO0.9F0.1,0.0181504,0.0174509
SmH9,0.019802,0.0189446
Sn,0.139075,0.139663
SnMo6S8,0.0266459,0.0240998
SrAlSi,0.0200186,0.0297115
SrC6,0.122587,0.155221
SrH10,0.0260437,0.0265285
SrH22,0.00373103,0.00325777
SrH6,0.098843,0.0999066
SrTiO3-doped,0.00887321,0.210066
Ta,0.119282,0.122752
TaC,0.103743,0.107013
TaH6,0.0216708,0.0203212
TbH9,0.0385913,0.0376427
Tc,0.118844,0.122624
Th,0.110484,0.130533
Th4H15,0.0129522,0.0115493
ThC2,0.0302613,0.0367503
ThH10,0.045824,0.0461619
ThH9,0.0272527,0.026923
Ti,0.157986,0.336425
TiH10,0.147186,0.148086
TiN,0.0500795,0.0590062
Tl,0.201521,0.206473
Tl2Ba2Ca2Cu3O10 (Tl-2223),0.013306,0.0129439
U (alpha),0.011038,0.189795
UBe13,0.0218189,0.0571647
UH7,0.0258025,0.0237695
UPd2Al3,0.0430241,0.0597537
UPt3,0.0465541,0.117522
URu2Si2,0.0414084,0.0672864
V,0.134119,0.146307
V3Ga,0.169785,0.172258
V3Si,0.18644,0.187857
VH8,0.0105342,0.00943083
WC,0.123804,0.127419
WRe,0.0258229,0.0259474
Y3LuH24,0.0541256,0.0543589
YB6,0.119324,0.135468
YBa2Cu3O7 (YBCO),0.0196892,0.0191995
YC2,0.0203826,0.0155182
YCaH18,0.0574607,0.0574805
YH10,0.0694099,0.0698373
YH4,0.101461,0.103011
YH6,0.210851,0.210902
YH9,0.177228,0.177517
YHfH12,0.0461789,0.0452399
YLu3H24,0.0341615,0.0343886
YLuH12,0.0442755,0.0449545
YThH12,0.0207434,0.0207508
YbC6,0.106241,0.111988
Zn,0.130591,0.191315
ZnH6,0.0293482,0.031609
Zr,0.188197,0.275306
ZrB12,0.112945,0.144362
ZrH10,0.217576,0.218435
ZrN,0.0491601,0.0493294
_-(BEDT-TTF)2I3,0.0178297,0.0331992
