name,sub_network,category,lock_family,jump_desc,d,X,C_AB,R_obs,chosen_lock,prime_value,err_before,R_corr_eta,err_after_eta,R_corr_kappa,err_after_kappa,jump_type,log_residual_eta,p,q,exp_a_2,exp_b_3,exp_c_5,exp_d_7,exp_other
(BEDT-TTF)2Cu(NCS)2,single,SC_Molecular,rational,thermal@Tc→gap(Δ),3,14.4231,0,1.8411,rational,1.875,0.0184121,1.83763,0.0203351,,,,-0.020132,15,8,,,,,
(BEDT-TTF)2Cu(NCS)2,single,SC_Molecular,rational,gap(Δ)→Debye,2,14.4231,0,7.83394,rational,7.875,0.00524138,7.8241,0.00650598,,,,-0.00648447,63,8,,,,,
(BEDT-TTF)2Cu(NCS)2,single,SC_Molecular,rational,Debye→electronic(E_F),1,14.4231,0,11.6045,rational,11.5714,0.00285144,11.5972,0.00222462,,,,0.00222715,81,7,,,,,
(BEDT-TTF)2Cu[N(CN)2]Br,single,SC_Molecular,rational,thermal@Tc→gap(Δ),3,13.3621,0,1.84072,rational,1.875,0.018625,1.8375,0.0204066,,,,-0.0202027,15,8,,,,,
(BEDT-TTF)2Cu[N(CN)2]Br,single,SC_Molecular,rational,gap(Δ)→Debye,2,13.3621,0,7.25917,rational,7.2,0.00815061,7.25072,0.00699475,,,,0.00701975,36,5,,,,,
(BEDT-TTF)2Cu[N(CN)2]Br,single,SC_Molecular,rational,Debye→electronic(E_F),1,13.3621,0,11.2302,rational,11.25,0.00176499,11.2236,0.00234836,,,,-0.00234942,45,4,,,,,
(La0.5Y0.5)H8,single,SC_HighPressure,mixed,thermal@Tc→gap(Δ),3,6.48276,0,1.92075,rational,1.875,0.0238177,1.91912,0.0229901,,,,0.0232581,15,8,,,,,
(La0.5Y0.5)H8,single,SC_HighPressure,mixed,gap(Δ)→Debye,2,6.48276,0,3.37512,rational,3.375,3.62044e-05,3.37322,0.000528823,,,,-0.000527547,27,8,,,,,
(La0.5Y0.5)H8,single,SC_HighPressure,mixed,Debye→electronic(E_F),1,6.48276,0,76.5404,rational,76.8,0.00339117,76.5188,0.00367457,,,,-0.00366818,384,5,,,,,
(La0.925Sr0.075)2CuO4,single,SC_Oxide,mixed,thermal@Tc→gap(Δ),3,17.5,0,1.85672,rational,1.875,0.00984374,1.85248,0.0121582,,,,-0.0120834,15,8,,,,,
