material,metric,n,mean,std,ci_low,ci_high,prime_max_val,jitter_percent,winsor
LaH10,kappa,500,0.0023690354164000002,0.004135684022858099,0.0,0.012454157499999998,10000,10.0,400.0
LaH10,C_AB,500,1.981632872,0.5895335721026137,0.8722623000000002,3.1333029999999997,10000,10.0,400.0
MgB2,kappa,500,0.0057804490048599996,0.027640794383159365,0.0,0.04364746249999987,10000,10.0,400.0
MgB2,C_AB,500,2.4470027774,1.6711490392080532,0.111446475,6.303185249999998,10000,10.0,400.0
2H-NbSe2,kappa,500,0.00960744618844,0.15061658410343354,0.0,0.02554935249999999,10000,10.0,400.0
2H-NbSe2,C_AB,500,2.7055488989799996,2.0044009016716173,0.11859992500000001,7.44967825,10000,10.0,400.0
FeSe,kappa,500,0.00036116115152,0.0014007797726247058,0.0,0.003612977499999994,10000,10.0,400.0
FeSe,C_AB,500,2.8625824941399998,2.006558205862687,0.18608850000000002,7.422377999999998,10000,10.0,400.0
Helium-3 (He-3) B-phase,kappa,500,0.0,0.0,0.0,0.0,10000,10.0,400.0
Helium-3 (He-3) B-phase,C_AB,500,229.198908076,161.5850686031422,8.643709000000003,575.667975,10000,10.0,400.0
Helium-4 (He-4),kappa,500,0.0258965622684,0.15196521536314395,0.0,0.1621192499999987,10000,10.0,400.0
Helium-4 (He-4),C_AB,500,0.36045418817799996,0.28043853960346,0.018073285,1.03878775,10000,10.0,400.0
