name,sum_err_before,sum_err_after_full
(La0.5Y0.5)H8,0.0272451,0.0271977
(LaY)H10,0.0237668,0.0247099
(LaY)H4,0.0333082,0.030621
(LaY)H6,0.0256708,0.026745
(TMTSF)2PF6 (under P),0.0236002,0.0827589
AcH10,0.077296,0.0773495
Al,0.179915,0.243384
AlH3,0.167569,0.16883
B2H6,0.0255203,0.0255417
BH,0.0844161,0.0898782
Ba(Fe0.8Co0.2)2As2,0.0269025,0.0269364
Ba(Fe0.9Co0.1)2As2,0.0258824,0.0271151
Ba0.6K0.4BiO3,0.013534,0.0135507
Ba0.6K0.4Fe2As2,0.0256099,0.0256314
BaH12,0.0227421,0.0227626
BaH6,0.144734,0.146166
BaPb0.75Bi0.25O3,0.0158083,0.0183071
Bi2Sr2CaCu2O8 (Bi-2212),0.0337739,0.0351912
CH4-H2 (clathrate),0.0199471,0.0212523
CaC6,0.148023,0.156859
CaH10,0.186687,0.187866
CaH6,0.169051,0.169136
Cd,0.188512,0.279884
CeCoIn5,0.0986334,0.115025
CeCu2Si2,0.0676474,0.111536
CeH10,0.0441198,0.045676
CeH9,0.0283818,0.0284112
Cs3C60,0.0128765,0.0119257
FeH5,0.0246833,0.0209442
FeSe (monolayer on STO),0.0608014,0.0622093
FeSe0.5Te0.5,0.0428857,0.0394501
FeSe0.7Te0.3,0.0663059,0.067648
FeSe1-xSx (x=0.17),0.105218,0.1107
GaH3,0.161898,0.164858
GdH9,0.0196273,0.0196486
H3S,0.0237982,0.0244886
H6SBr,0.0364436,0.0364805
H6SCl,0.0385006,0.036327
Hf,0.142871,0.962493
HfH10,0.190746,0.191344
Hg,0.11075,0.11105
In,0.123023,0.1317
InH3,0.182885,0.184406
InH5,0.0291515,0.0321671
K3C60,0.0387285,0.0366631
La,0.174804,0.17861
La2-xSrxCuO4 (LSCO x~0.15),0.0203603,0.0213757
LaBeH8,0.0390471,0.0402363
LaCeH18,0.0301794,0.0307938
LaH10,0.32612,0.326309
LaH8,0.0125295,0.0142063
LaO0.9F0.1FeAs,0.0304992,0.0282741
LaSc2H24,0.0413704,0.0421503
LaSr2H18,0.0510594,0.0510979
LaSr3H24,0.0478507,0.0460308
LaSrH12,0.024636,0.0246584
LaSrH21,0.0325593,0.0325829
LaThH12,0.0556508,0.055097
LaYH20,0.0237668,0.0247099
Li2MgH16,0.0511379,0.0518004
LiFeAs,0.00856246,0.00699685
LuH3,0.0974193,0.109789
MgCNi3,0.0104219,0.0197303
MgH12,0.0405104,0.0405388
MgH6,0.0366922,0.0376269
Mo,0.15637,0.305846
Mo3Si,0.19438,0.270725
MoH11,0.0107948,0.0101278
Nb,0.0496147,0.0498213
Nb3Al,0.104035,0.104256
Nb3Ge,0.0328651,0.0329226
Nb3Sn,0.0208529,0.0252581
NbN,0.199938,0.200558
NdFeAsO0.9F0.1,0.0189106,0.0194881
NdH9,0.0387285,0.0364047
Pb,0.128457,0.128711
PbMo6S8,0.0210165,0.0195519
PrFeAsO0.9F0.1,0.0189106,0.0194881
PrH10,0.027036,0.0248838
PrH9,0.03659,0.0357844
Rb3C60,0.0112685,0.0116865
Re,0.0548446,0.135846
SH3 (Cmca),0.0282012,0.0297566
ScH12,0.0805425,0.0806057
ScH3,0.133183,0.138016
ScH6,0.138817,0.138995
ScZrH12,0.0466164,0.0466529
Si2H6,0.0128418,0.0102981
SmFeAsO0.9F0.1,0.0181504,0.0167944
SmH9,0.019802,0.0181397
Sn,0.139075,0.140236
SrH10,0.0260437,0.0269834
SrH22,0.00373103,0.00281343
SrH6,0.098843,0.100905
SrTiO3-doped,0.00887321,0.430292
Ta,0.119282,0.126898
TaH6,0.0216708,0.0190545
TbH9,0.0385913,0.036752
Th4H15,0.0129522,0.0102325
ThH10,0.045824,0.046479
ThH9,0.0272527,0.0266136
Ti,0.157986,0.549126
TiN,0.0500795,0.0788183
Tl,0.201521,0.211145
UBe13,0.0218189,0.124599
UH7,0.0258025,0.0218605
UPd2Al3,0.0430241,0.0758164
UPt3,0.0465541,0.187696
URu2Si2,0.0414084,0.0924574
V,0.134119,0.157836
V3Si,0.18644,0.189189
VH8,0.0105342,0.00839544
Y3LuH24,0.0541256,0.0545778
YBa2Cu3O7 (YBCO),0.0196892,0.0187399
YCaH18,0.0574607,0.0574989
YH10,0.0694099,0.0702382
YH4,0.101461,0.104465
YH6,0.210851,0.21095
YH9,0.177228,0.177788
YHfH12,0.0461789,0.0444684
YLu3H24,0.0341615,0.0346016
YLuH12,0.0442755,0.0455915
YThH12,0.0207434,0.020939
Zn,0.130591,0.258447
Zr,0.188197,0.36221
ZrH10,0.217576,0.219242
ZrN,0.0491601,0.0495058
