name,sum_err_before,sum_err_after_full
(BEDT-TTF)2Cu(NCS)2,0.0265049,0.0275522
(BEDT-TTF)2Cu[N(CN)2]Br,0.0285406,0.0290352
(La0.5Y0.5)H8,0.0272451,0.0271813
(La0.925Sr0.075)2CuO4,0.0205263,0.0211653
(LaY)H10,0.0237668,0.0240869
(LaY)H4,0.0333082,0.0323962
(LaY)H6,0.0256708,0.0260354
(TMTSF)2AsF6,0.0195367,0.0317973
(TMTSF)2ClO4,0.0190477,0.0191413
(TMTSF)2PF6 (under P),0.0236002,0.0433915
1T'-MoTe2,0.0145209,0.239724
1T'-WTe2,0.0111473,0.513333
2H-NbS2,0.149461,0.152726
2H-Pd0.08TaSe2,0.022485,0.0197425
2H-TaS2,0.1004,0.13414
2H-TaS2 (thin 3.5nm),0.132797,0.145139
2H-TaSe2,0.131605,0.349545
2H-VSe2,0.0125383,0.148521
2M-WS2,0.0195874,0.0223269
2M-WS2 (thin <20nm),0.0195874,0.0223269
3R-Ta0.9Mo0.1Se2,0.0235852,0.0207923
3R-Ta0.9W0.1Se2,0.00729684,0.00527108
4H-NbSe2,0.188984,0.192541
4Hb-TaS2,0.0106158,0.00492476
AcH10,0.077296,0.077314
Al,0.179915,0.183333
AlH3,0.167569,0.167997
Am,0.0228864,0.0230808
AsH3,0.012026,0.0121347
B2H6,0.0255203,0.0255274
BH,0.0844161,0.0862685
Ba(Fe0.8Co0.2)2As2,0.0269025,0.0269143
Ba(Fe0.9Co0.1)2As2,0.0258824,0.0263005
Ba0.6K0.4BiO3,0.013534,0.0135394
Ba0.6K0.4Fe2As2,0.0256099,0.0256173
BaC6,0.134185,0.732934
BaH12,0.0227421,0.0227492
BaH6,0.144734,0.14522
BaPb0.75Bi0.25O3,0.0158083,0.0166549
Bi2Sr2Ca2Cu3O10 (Bi-2223),0.0365031,0.0365084
Bi2Sr2CaCu2O8 (Bi-2212),0.0337739,0.0342551
CH4-H2 (clathrate),0.0199471,0.0203901
CaAlSi,0.0218477,0.0228038
CaC6,0.148023,0.151017
CaH10,0.186687,0.187087
CaH6,0.169051,0.16908
Cd,0.188512,0.20691
CeCoIn5,0.0986334,0.0991223
CeCu2Si2,0.0676474,0.064705
CeH10,0.0441198,0.0446479
CeH9,0.0283818,0.0283919
CoH5,0.0162764,0.0162855
Cr3Si,0.124526,0.125021
CrH6,0.0180256,0.0184778
Cs3C60,0.0128765,0.0125537
CsC8,0.234572,7.56035
CuMo6S8,0.0244149,0.0231457
EuMo6S8,0.0251238,0.0262607
FeH5,0.0246833,0.0234147
FeSe (monolayer on STO),0.0608014,0.0612794
FeSe0.5Te0.5,0.0428857,0.041721
FeSe0.7Te0.3,0.0663059,0.0667611
FeSe1-xSx (x=0.17),0.105218,0.107075
GaH3,0.161898,0.162902
GdH9,0.0196273,0.0196347
GeH4,0.120874,0.12282
H3S,0.0237982,0.0240325
H6SBr,0.0364436,0.0364563
H6SCl,0.0385006,0.0377628
Hf,0.142871,0.373273
HfH10,0.190746,0.190949
Hg,0.11075,0.110853
HgBa2Ca2Cu3O8 (Hg-1223),0.0153458,0.0153476
In,0.123023,0.125958
InH3,0.182885,0.183401
InH5,0.0291515,0.0301741
Ir,0.129385,0.615803
IrO2,0.0133489,0.119225
K3C60,0.0387285,0.0380274
KC8,0.0165487,0.0632473
La,0.174804,0.176093
La2-xBaxCuO4 (x~0.125),0.0147198,0.0155726
La2-xSrxCuO4 (LSCO x~0.15),0.0203603,0.0207048
LaBeH8,0.0390471,0.0394507
LaCeH18,0.0301794,0.0303879
LaH10,0.32612,0.326184
LaH8,0.0125295,0.0130985
LaO0.9F0.1FeAs,0.0304992,0.0297444
LaSc2H24,0.0413704,0.0416352
LaSr2H18,0.0510594,0.0510724
LaSr3H24,0.0478507,0.047233
LaSrH12,0.024636,0.0246435
