name,sub_network,category,lock_family,jump_type,jump_desc,d,X,C_AB,R_obs,chosen_lock,prime_value,err_before,R_corr_eta,err_after_eta,R_corr_kappa,err_after_kappa
Ba0.6K0.4Fe2As2,hole-band-vs-electron-band,SC_IronBased,rational,inter,Debye(hole-band) / Debye(electron-band),,,,1.02153,rational,1,0.0210809,1.02153,0.0210809,1.02153,0.0210809
BaFe2(As0.7P0.3)2,hole-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,8.06402,0.576336,2.17509,rational,2.14286,0.0148195,2.1741,0.0143711,2.16907,0.012085
BaFe2(As0.7P0.3)2,hole-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,8.06402,0.576336,3.70744,rational,3.75,0.0114794,3.70632,0.0117863,3.69774,0.0141327
BaFe2(As0.7P0.3)2,hole-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,8.06402,0.576336,9.34766,rational,9.33333,0.0015329,9.34624,0.00138146,9.32462,0.000934053
BaFe2(As0.7P0.3)2,electron-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,8.64036,0.576336,1.61848,rational,1.6,0.011417,1.61769,0.0109349,1.61395,0.00864075
BaFe2(As0.7P0.3)2,electron-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,8.64036,0.576336,5.33857,rational,5.33333,0.000980732,5.33683,0.000655959,5.32449,0.00166164
BaFe2(As0.7P0.3)2,electron-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,8.64036,0.576336,9.04923,integer,9,0.00544058,9.04776,0.00527895,9.02683,0.00297245
BaFe2(As0.7P0.3)2,hole-band-vs-electron-band,SC_IronBased,rational,inter,gap(hole-band) / gap(electron-band),,,,1.42461,rational,1.42857,0.00277869,1.42461,0.00277869,1.42461,0.00277869
BaFe2(As0.7P0.3)2,hole-band-vs-electron-band,SC_IronBased,rational,inter,Debye(hole-band) / Debye(electron-band),,,,0.989342,rational,1,0.0107733,0.989342,0.0107733,0.989342,0.0107733
BeAu,gap1,SC_TypeI,mixed,intra,thermal@Tc→gap(Δ),3,116.681,7.80609,1.84496,rational,1.875,0.0162821,1.83281,0.0230166,1.83281,0.0230166
BeAu,gap1,SC_TypeI,mixed,intra,gap(Δ)→Debye,2,116.681,7.80609,63.2429,integer,63,0.00384007,62.9653,0.000551005,62.9653,0.000551005
BeAu,gap1,SC_TypeI,mixed,intra,Debye→electronic(E_F),1,116.681,7.80609,176.934,rational,176.4,0.00302074,176.546,0.000828227,176.546,0.000828227
BeAu,gap2,SC_TypeI,mixed,intra,thermal@Tc→gap(Δ),3,124.487,7.80609,0.915855,rational,0.875,0.044609,0.909423,0.0378515,0.909423,0.0378515
BeAu,gap2,SC_TypeI,mixed,intra,gap(Δ)→Debye,2,124.487,7.80609,135.924,integer,135,0.00679721,135.287,0.0021249,135.287,0.0021249
BeAu,gap2,SC_TypeI,mixed,intra,Debye→electronic(E_F),1,124.487,7.80609,173.507,rational,173.571,0.000370211,173.101,0.0027177,173.101,0.0027177
BeAu,gap1-vs-gap2,SC_TypeI,rational,inter,gap(gap1) / gap(gap2),,,,2.0665,rational,2,0.0321801,2.0665,0.0321801,2.0665,0.0321801
BeAu,gap1-vs-gap2,SC_TypeI,rational,inter,Debye(gap1) / Debye(gap2),,,,0.961504,rational,1,0.0400373,0.961504,0.0400373,0.961504,0.0400373
Ca10(Pt3As8)(Fe2As2)5,gap1,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,7.86389,0.480575,1.2158,rational,1.2,0.0129957,1.21526,0.0125576,1.21482,0.0121978
Ca10(Pt3As8)(Fe2As2)5,gap1,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,7.86389,0.480575,6.46808,rational,6.42857,0.00610839,6.46617,0.00581433,6.46381,0.00545219
Ca10(Pt3As8)(Fe2As2)5,gap1,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,7.86389,0.480575,8.47302,rational,8.4,0.00861783,8.47177,0.00847119,8.46868,0.00811007
Ca10(Pt3As8)(Fe2As2)5,gap2,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,7.4967,0.480575,2.0879,rational,2.14286,0.0263213,2.08702,0.0267556,2.08626,0.0271296
Ca10(Pt3As8)(Fe2As2)5,gap2,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,7.4967,0.480575,3.59054,rational,3.6,0.0026336,3.58953,0.00291639,3.58822,0.0032817
Ca10(Pt3As8)(Fe2As2)5,gap2,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,7.4967,0.480575,8.40495,rational,8.4,0.000589455,8.40377,0.000448533,8.40071,8.44956e-05
Ca10(Pt3As8)(Fe2As2)5,hole-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,8.4795,0.480575,2.20813,rational,2.25,0.0189606,2.20708,0.0194483,2.20627,0.0198197
Ca10(Pt3As8)(Fe2As2)5,hole-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,8.4795,0.480575,3.84012,rational,3.85714,0.00443181,3.8389,0.00475227,3.8375,0.00511826
Ca10(Pt3As8)(Fe2As2)5,hole-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,8.4795,0.480575,8.26971,rational,8.33333,0.00769358,8.26839,0.0078543,8.26538,0.00822137
Ca10(Pt3As8)(Fe2As2)5,electron-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,7.99893,0.480575,1.22494,rational,1.2,0.0203614,1.22439,0.0199191,1.22394,0.019562
Ca10(Pt3As8)(Fe2As2)5,electron-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,7.99893,0.480575,6.53005,rational,6.42857,0.0155401,6.52808,0.0152438,6.52571,0.0148851
Ca10(Pt3As8)(Fe2As2)5,electron-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,7.99893,0.480575,8.09634,rational,8.16667,0.00868629,8.09512,0.00883805,8.09217,0.00920548
Ca10(Pt3As8)(Fe2As2)5,hole-band-vs-electron-band,SC_IronBased,rational,inter,gap(hole-band) / gap(electron-band),,,,1.70041,rational,1.71429,0.00815788,1.70041,0.00815788,1.70041,0.00815788
Ca10(Pt3As8)(Fe2As2)5,hole-band-vs-electron-band,SC_IronBased,rational,inter,Debye(hole-band) / Debye(electron-band),,,,0.999962,rational,1,3.80252e-05,0.999962,3.80252e-05,0.999962,3.80252e-05
CaFe0.88Co0.12AsF,hole-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,11.3806,1.17913,2.43807,rational,2.4,0.0156128,2.4365,0.0149804,2.42086,0.00861547
CaFe0.88Co0.12AsF,hole-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,11.3806,1.17913,4.66788,rational,4.66667,0.000259507,4.66588,0.000168618,4.63593,0.00663
CaFe0.88Co0.12AsF,hole-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,11.3806,1.17913,9.38837,rational,9.375,0.00142406,9.38636,0.00121029,9.32612,0.00524079
CaFe0.88Co0.12AsF,electron-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,12.5597,1.17913,0.508082,rational,0.5,0.0159065,0.507722,0.0152086,0.504462,0.0088448
CaFe0.88Co0.12AsF,electron-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,12.5597,1.17913,24.7199,rational,24.5,0.00889458,24.7082,0.00842616,24.5496,0.00202002
CaFe0.88Co0.12AsF,electron-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,12.5597,1.17913,8.73057,rational,8.75,0.00222497,8.72851,0.00246175,8.6725,0.0089367
CaFe0.88Co0.12AsF,hole-band-vs-electron-band,SC_IronBased,rational,inter,gap(hole-band) / gap(electron-band),,,,5.07908,rational,5.14286,0.0125559,5.07908,0.0125559,5.07908,0.0125559
CaFe0.88Co0.12AsF,hole-band-vs-electron-band,SC_IronBased,rational,inter,Debye(hole-band) / Debye(electron-band),,,,0.959089,rational,1,0.0426565,0.959089,0.0426565,0.959089,0.0426565
FeSe,sigma,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,28.0807,0.625039,2.07926,rational,2.14286,0.0305871,2.07596,0.0322225,2.07306,0.0336706
FeSe,sigma,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,28.0807,0.625039,13.5051,rational,13.5,0.000381093,13.4909,0.000675807,13.472,0.00207897
FeSe,sigma,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,28.0807,0.625039,0.485485,rational,0.5,0.0298981,0.485229,0.0304423,0.484549,0.0318864
FeSe,pi,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,30.0642,0.625039,0.343137,rational,0.333333,0.028571,0.342555,0.0269204,0.342075,0.0255551
FeSe,pi,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,30.0642,0.625039,87.6158,rational,87.5,0.00132198,87.5168,0.000191402,87.3942,0.00121065
FeSe,pi,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,30.0642,0.625039,0.473969,rational,0.5,0.0549205,0.473701,0.0555173,0.473038,0.0569966
FeSe,hole-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,27.9724,0.625039,2.0887,rational,2.14286,0.0259277,2.08541,0.0275493,2.08248,0.0289909
FeSe,hole-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,27.9724,0.625039,13.3923,rational,13.3333,0.00439986,13.3782,0.00335127,13.3594,0.00195376
FeSe,hole-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,27.9724,0.625039,0.463982,rational,0.428571,0.0763186,0.463738,0.0758325,0.463089,0.0745373
FeSe,electron-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,27.3474,0.625039,0.345894,rational,0.333333,0.0363131,0.34536,0.034824,0.344876,0.0334699
FeSe,electron-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,27.3474,0.625039,79.063,rational,78.75,0.00395857,78.9817,0.00293299,78.8711,0.00153492
FeSe,electron-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,27.3474,0.625039,0.492474,rational,0.5,0.0152826,0.49222,0.0158051,0.491532,0.0172287
