name,sum_err_before,sum_err_after_full
(BEDT-TTF)2Cu(NCS)2,0.0265049,0.0276075
(BEDT-TTF)2Cu[N(CN)2]Br,0.0285406,0.0290612
(La0.5Y0.5)H8,0.0272451,0.0271817
(La0.925Sr0.075)2CuO4,0.0205263,0.021199
(LaY)H10,0.0237668,0.0241038
(LaY)H4,0.0333082,0.0323482
(LaY)H6,0.0256708,0.0260546
(TMTSF)2AsF6,0.0195367,0.0324495
(TMTSF)2ClO4,0.0190477,0.019145
(TMTSF)2PF6 (under P),0.0236002,0.0444427
1T'-MoTe2,0.0145209,0.253296
1T'-WTe2,0.0111473,0.545538
2H-NbS2,0.149461,0.152899
2H-Pd0.08TaSe2,0.022485,0.0195974
2H-TaS2,0.1004,0.135942
2H-TaS2 (thin 3.5nm),0.132797,0.145793
2H-TaSe2,0.131605,0.362031
2H-VSe2,0.0125383,0.156089
2M-WS2,0.0195874,0.0224953
2M-WS2 (thin <20nm),0.0195874,0.0224953
3R-Ta0.9Mo0.1Se2,0.0235852,0.0207951
3R-Ta0.9W0.1Se2,0.00729684,0.00548937
4H-NbSe2,0.188984,0.192729
4Hb-TaS2,0.0106158,0.00492586
AcH10,0.077296,0.077315
Al,0.179915,0.183526
AlH3,0.167569,0.168019
Am,0.0228864,0.0230878
AsH3,0.012026,0.0121643
B2H6,0.0255203,0.0255278
BH,0.0844161,0.0863662
Ba(Fe0.8Co0.2)2As2,0.0269025,0.0269149
Ba(Fe0.9Co0.1)2As2,0.0258824,0.0263226
Ba0.6K0.4BiO3,0.013534,0.0135397
Ba0.6K0.4Fe2As2,0.0256099,0.0256177
BaC6,0.134185,0.774539
BaH12,0.0227421,0.0227496
BaH6,0.144734,0.145245
BaPb0.75Bi0.25O3,0.0158083,0.0166995
Bi2Sr2Ca2Cu3O10 (Bi-2223),0.0365031,0.0365087
Bi2Sr2CaCu2O8 (Bi-2212),0.0337739,0.0342804
CH4-H2 (clathrate),0.0199471,0.0204134
CaAlSi,0.0218477,0.022958
CaC6,0.148023,0.151175
CaH10,0.186687,0.187108
CaH6,0.169051,0.169081
Cd,0.188512,0.207901
CeCoIn5,0.0986334,0.0995485
CeCu2Si2,0.0676474,0.0659334
CeH10,0.0441198,0.0446757
CeH9,0.0283818,0.0283924
CoH5,0.0162764,0.016286
Cr3Si,0.124526,0.125047
CrH6,0.0180256,0.0185017
Cs3C60,0.0128765,0.0125367
CsC8,0.39897,6.79933
CuMo6S8,0.0244149,0.0230787
EuMo6S8,0.0251238,0.0263207
FeH5,0.0246833,0.0233478
FeSe (monolayer on STO),0.0608014,0.0613045
FeSe0.5Te0.5,0.0428857,0.0416595
FeSe0.7Te0.3,0.0663059,0.0667851
FeSe1-xSx (x=0.17),0.105218,0.107173
GaH3,0.161898,0.162955
GdH9,0.0196273,0.0196351
GeH4,0.120874,0.122923
H3S,0.0237982,0.0240448
H6SBr,0.0364436,0.036457
H6SCl,0.0385006,0.037724
Hf,0.142871,0.386528
HfH10,0.190746,0.19096
Hg,0.11075,0.110859
HgBa2Ca2Cu3O8 (Hg-1223),0.0153458,0.0153477
In,0.123023,0.126113
InH3,0.182885,0.183428
InH5,0.0291515,0.0302281
Ir,0.129385,0.64873
IrO2,0.0133489,0.125148
K3C60,0.0387285,0.0379905
KC8,0.0165487,0.0675041
La,0.174804,0.176161
La2-xBaxCuO4 (x~0.125),0.0147198,0.0156175
La2-xSrxCuO4 (LSCO x~0.15),0.0203603,0.020723
LaBeH8,0.0390471,0.039472
LaCeH18,0.0301794,0.0303989
LaH10,0.32612,0.326188
LaH8,0.0125295,0.0131285
LaO0.9F0.1FeAs,0.0304992,0.0297046
LaSc2H24,0.0413704,0.0416491
LaSr2H18,0.0510594,0.0510731
LaSr3H24,0.0478507,0.0472004
LaSrH12,0.024636,0.0246439
LaSrH21,0.0325593,0.0325678
LaThH12,0.0556508,0.055453
LaYH20,0.0237668,0.0241038
Li2MgH16,0.0511379,0.0513747
LiFeAs,0.00856246,0.00800361
LuB12,0.11186,0.389481
LuH3,0.0974193,0.101817
MgCNi3,0.0104219,0.0137349
MgH12,0.0405104,0.0405205
MgH6,0.0366922,0.0370262
MnH8,0.0269906,0.0277107
Mo,0.15637,0.198218
Mo3Al,0.128794,0.161899
Mo3Si,0.19438,0.215608
MoC,0.102564,0.104225
MoH11,0.0107948,0.0105565
MoRe,0.0784098,0.0819421
Na2CsC60,0.0279898,0.0276433
NaAlSi,0.0160702,0.0161021
Nb,0.0496147,0.0496861
Nb3Al,0.104035,0.104113
Nb3Au,0.0654759,0.0664345
Nb3Ge,0.0328651,0.0328852
Nb3Sb,0.166452,0.339997
Nb3Sn,0.0208529,0.0224261
NbN,0.199938,0.200158
NbSe2 (monolayer),0.104122,0.12784
NbTi,0.0914516,0.0948924
NbZr,0.0897783,0.0907987
Nd1.85Ce0.15CuO4,0.0357153,0.0357376
Nd2-xCexCuO4 (NCCO),0.011712,0.0122522
NdFeAsO0.9F0.1,0.0189106,0.0191169
NdH9,0.0387285,0.0378982
NiH4,0.0180222,0.0180362
NiMo6S8,0.0204297,0.0152573
Os,0.107958,0.173658
Pa,0.0182362,0.0142827
Pb,0.128457,0.128548
PbMo6S8,0.0210165,0.0204936
PbMo6Se8,0.0343906,0.0288242
Pr2-xCexCuO4 (PCCO),0.011712,0.0122522
PrFeAsO0.9F0.1,0.0189106,0.0191169
PrH10,0.027036,0.026267
PrH9,0.03659,0.0363022
Rb3C60,0.0112685,0.0114179
RbC8,0.0125504,0.526657
Re,0.0548446,0.0829391
Rh,0.129582,12.6432
Ru,0.10532,0.258108
RuO2,0.00920948,0.0626546
SH3 (Cmca),0.0282012,0.028757
ScH12,0.0805425,0.080565
ScH3,0.133183,0.134904
ScH6,0.138817,0.13888
ScZrH12,0.0466164,0.0466295
SeH2,0.0191092,0.0183418
Si2H6,0.0128418,0.011933
SmFeAsO0.9F0.1,0.0181504,0.017666
SmH9,0.019802,0.0192082
Sn,0.139075,0.13948
SnMo6S8,0.0266459,0.0248828
SrAlSi,0.0200186,0.0267251
SrC6,0.122587,0.145108
SrH10,0.0260437,0.0263795
SrH22,0.00373103,0.00340328
SrH6,0.098843,0.0995796
SrTiO3-doped,0.00887321,0.144933
Ta,0.119282,0.121682
TaC,0.103743,0.106005
TaH6,0.0216708,0.0207361
TbH9,0.0385913,0.0379343
Tc,0.118844,0.12146
Th,0.110484,0.12434
Th4H15,0.0129522,0.0119806
ThC2,0.0302613,0.0347496
ThH10,0.045824,0.046058
ThH9,0.0272527,0.0270244
Ti,0.157986,0.273044
TiH10,0.147186,0.147809
TiN,0.0500795,0.0550807
Tl,0.201521,0.204948
Tl2Ba2Ca2Cu3O10 (Tl-2223),0.013306,0.0130552
U (alpha),0.011038,0.131524
UBe13,0.0218189,0.0357978
UH7,0.0258025,0.0243946
UPd2Al3,0.0430241,0.0545691
UPt3,0.0465541,0.0953028
URu2Si2,0.0414084,0.0592299
V,0.134119,0.14255
V3Ga,0.169785,0.171497
V3Si,0.18644,0.187421
